任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條編號
個人資料,我,我,"wǒ ",N,ㄨㄛˇ,準1-1,1
,你/妳,你,"nǐ ",N,ㄋㄧˇ,準1-2,2
,他/她,他,tā,N,ㄊㄚ,準1-3,3
,我們,我們,"wǒmen ",N,ㄨㄛˇ　˙ㄇㄣ,準1-4,4
,你們/妳們,你們,"nǐmen ",N,ㄋㄧˇ　˙ㄇㄣ,準1-5,5
,他們/她們,他們,tāmen,N,ㄊㄚ　˙ㄇㄣ,準1-6,6
,您,您,"nín ",N,ㄋㄧㄣˊ,準1-7,7
,誰,誰,"shéi ",N,ㄕㄟˊ,準1-8,8
,人,人,"rén ",N,ㄖㄣˊ,準1-9,9
,中國,中國,"zhōngguó ",N,ㄓㄨㄥ　ㄍㄨㄛˊ,準1-10,10
,美國,美國,"měiguó ",N,ㄇㄟˇ　ㄍㄨㄛˊ,準1-11,11
,日本,日本,"rìběn ",N,ㄖˋ　ㄅㄣˇ,準1-12,12
,台灣,台灣,táiwān,N,ㄊㄞˊ　ㄨㄢ,準1-13,13
,名字(˙ㄗ),名字(˙ㄗ),míngzi,N,ㄇㄧㄥˊ　˙ㄗ,準1-14,14
,家,家,"jiā ",N,ㄐㄧㄚ,準1-15,15
,電話,電話,"diànhuà ",N,ㄉㄧㄢˋ　ㄏㄨㄚˋ,準1-16,16
,現在,現在,"xiànzài ",N,ㄒㄧㄢˋ　ㄗㄞˋ,準1-17,17
,今年,今年,"jīnnián ",N,ㄐㄧㄣ　ㄋㄧㄢˊ,準1-18,18
,今天,今天,"jīntiān ",N,ㄐㄧㄣ　ㄊㄧㄢ,準1-19,19
,明天,明天,"míngtiān ",N,ㄇㄧㄥˊ　ㄊㄧㄢ,準1-20,20
,昨天,昨天,"zuótiān ",N,ㄗㄨㄛˊ　ㄊㄧㄢ,準1-21,21
,早上(˙ㄕㄤ),早上,zǎoshang,N,ㄗㄠˇ　˙ㄕㄤ,準1-22,22
,上午,上午,"shàngwǔ ",N,ㄕㄤˋ　ㄨˇ,準1-23,23
,中午,中午,"zhōngwǔ ",N,ㄓㄨㄥ　ㄨˇ,準1-24,24
,下午,下午,"xiàwǔ ",N,ㄒㄧㄚˋ　ㄨˇ,準1-25,25
,晚上(˙ㄕㄤ),晚上,wǎnshang,N,ㄨㄢˇ　˙ㄕㄤ,準1-26,26
,一,一,"yī ",N,ㄧ,準1-27,27
,二,二,"èr ",N,ㄦˋ,準1-28,28
,三,三,"sān ",N,ㄙㄢ,準1-29,29
,四,四,"sì ",N,ㄙˋ,準1-30,30
,五,五,"wǔ ",N,ㄨˇ,準1-31,31
,六,六,"liù ",N,ㄌㄧㄡˋ,準1-32,32
,七,七,"qī ",N,ㄑㄧ,準1-33,33
,八,八,"bā ",N,ㄅㄚ,準1-34,34
,九,九,"jiǔ ",N,ㄐㄧㄡˇ,準1-35,35
,十,十,"shí ",N,ㄕˊ,準1-36,36
,零,零,"líng ",N,ㄌㄧㄥˊ,準1-37,37
,兩,兩,"liǎng ",N,ㄌㄧㄤˇ,準1-38,38
,時候,時候,"shíhòu ",N,ㄕˊ　ㄏㄡˋ,準1-39,39
,百,百,"bǎi ",N,ㄅㄞˇ,準1-40,40
,半,半,"bàn ",N,ㄅㄢˋ,準1-41,41
,爸爸,爸爸,bàba,N,ㄅㄚˋ　˙ㄅㄚ,準1-42,42
,媽媽,媽媽,māma,N,ㄇㄚ　˙ㄇㄚ,準1-43,43
,哥哥,哥哥,gēge,N,ㄍㄜ　˙ㄍㄜ,準1-44,44
,弟弟,弟弟,dìdi,N,ㄉㄧˋ　˙ㄉㄧ,準1-45,45
,姊姊/姐姐,姊姊/姐姐,jiějie,N,ㄐㄧㄝˇ　˙ㄐㄧㄝ,準1-46,46
,妹妹,妹妹,"mèimei ",N,ㄇㄟˋ　˙ㄇㄟ,準1-47,47
,的,的,"de ",Ptc,˙ㄉㄜ,準1-48,48
,第,第,"dì ",Det,ㄉㄧˋ,準1-49,49
,分,分,fēn,M,ㄈㄣ,準1-50,50
,點,點,diǎn,M,ㄉㄧㄢˇ,準1-51,51
,個,個,ge,M,˙ㄍㄜ,準1-52,52
,歲,歲,"suì ",M,ㄙㄨㄟˋ,準1-53,53
,年,年,"nián ",M,ㄋㄧㄢˊ,準1-54,54
,住,住,"zhù ",V,ㄓㄨˋ,準1-55,55
,來,來,"lái ",V,ㄌㄞˊ,準1-56,56
,是,是,"shì ",Vst,ㄕˋ,準1-57,57
,姓,姓,"xìng ",Vst,ㄒㄧㄥˋ,準1-58,58
,覺得,覺得,juéde,Vst,ㄐㄩㄝˊ　˙ㄉㄜ,準1-59,59
,喜歡,喜歡,"xǐhuān ",Vst,ㄒㄧˇ　ㄏㄨㄢ,準1-60,60
,打電話,打電話,"dǎdiànhuà ",Vi,ㄉㄚˇ　ㄉㄧㄢˋ　ㄏㄨㄚˋ,準1-61,61
,高興,高興,"gāoxìng ",Vs,ㄍㄠ　ㄒㄧㄥˋ,準1-62,62
,漂亮(˙ㄌㄧㄤ),漂亮(˙ㄌㄧㄤ),piàoliàng,Vs,ㄆㄧㄠˋ　˙ㄌㄧㄤ,準1-63,63
,高,高,"gāo ",Vs,ㄍㄠ,準1-64,64
,好,好,"hǎo ",Adv,ㄏㄠˇ,準1-65,65
,很,很,"hěn ",Adv,ㄏㄣˇ,準1-66,66
,真,真,"zhēn ",Adv,ㄓㄣ,準1-67,67
工作,電腦,電腦,"diànnǎo ",N,ㄉㄧㄢˋ　ㄋㄠˇ,準1-68,68
,老師,老師,"lǎoshī ",N,ㄌㄠˇ　ㄕ,準1-69,69
,買,買,"mǎi ",V,ㄇㄞˇ,準1-70,70
,忙,忙,"máng ",Vs,ㄇㄤˊ,準1-71,71
教育,學生,學生,"xuéshēng ",N,ㄒㄩㄝˊ　ㄕㄥ,準1-72,72
,大學,大學,"dàxué ",N,ㄉㄚˋㄒㄩㄝˊ,準1-73,73
,學校,學校,"xuéxiào ",N,ㄒㄩㄝˊ　ㄒㄧㄠˋ,準1-74,74
,字,字,"zì ",N,ㄗˋ,準1-75,75
,筆,筆,"bǐ ",N,ㄅㄧˇ,準1-76,76
,學,學,"xué ",V,ㄒㄩㄝˊ,準1-77,77
,問,問,"wèn ",V,ㄨㄣˋ,準1-78,78
,說,說,"shuō ",V,ㄕㄨㄛ,準1-79,79
,寫,寫,"xiě ",V,ㄒㄧㄝˇ,準1-80,80
,聽,聽,"tīng ",V,ㄊㄧㄥ,準1-81,81
,練習,練習,"liànxí ",V,ㄌㄧㄢˋ　ㄒㄧˊ,準1-82,82
,能,能,"néng ",Vaux,ㄋㄥˊ,準1-83,83
,可以,可以,"kěyǐ ",Vaux,ㄎㄜˇ　ㄧˇ,準1-84,84
