任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
個人資料,出生,出生,"chūshēng ",Vp,ㄔㄨ　ㄕㄥ,基-1,1
,國,國,"guó ",N,ㄍㄨㄛˊ,基-2,2
,不同,不同,"bùtóng ",Vs,ㄅㄨˋ　ㄊㄨㄥˊ,基-3,3
,地址,地址,dìzhǐ,N,ㄉㄧˋ　ㄓˇ,基-4,4
,市,市,shì,N,ㄕˋ,基-5,5
,傳真,傳真,"chuánzhēn ",N,ㄔㄨㄢˊ　ㄓㄣ,基-6,6
,留言,留言,liú​yán,Vi,ㄌㄧㄡˊ　ㄧㄢˊ,基-7,7
,日期,日期,"rìqí ",N,ㄖˋ　ㄑㄧˊ,基-8,8
,時間,時間,"shíjiān ",N,ㄕˊ　ㄐㄧㄢ,基-9,9
,鐘頭,鐘頭,"zhōngtóu ",N,ㄓㄨㄥ　ㄊㄡˊ,基-10,10
,晚,晚,"wǎn ",N,ㄨㄢˇ,基-11,11
,夜,夜,"yè ",N,ㄧㄝˋ,基-12,12
,禮拜,禮拜,"lǐbài ",N,ㄌㄧˇ　ㄅㄞˋ,基-13,13
,禮拜天,禮拜天,"lǐbàitiān ",N,ㄌㄧˇ　ㄅㄞˋ　ㄊㄧㄢ,基-14,14
,前天,前天,"qiántiān ",N,ㄑㄧㄢˊ　ㄊㄧㄢ,基-15,15
,後天,後天,"hòutiān ",N,ㄏㄡˋ　ㄊㄧㄢ,基-16,16
,從前,從前,"cóngqián ",N,ㄘㄨㄥˊ　ㄑㄧㄢˊ,基-17,17
,夏,夏,"xià ",N,ㄒㄧㄚˋ,基-18,18
,冬,冬,"dōng ",N,ㄉㄨㄥ,基-19,19
,秋,秋,"qiū ",N,ㄑㄧㄡ,基-20,20
,春,春,"chūn ",N,ㄔㄨㄣ,基-21,21
,一會兒,一會兒,"yīhuǐér ",N,"ㄧ　ㄏㄨㄟˇ ㄦ",基-22,22
,不久,不久,"bùjiǔ ",N,ㄅㄨˋ　ㄐㄧㄡˇ,基-23,23
,剛剛,剛剛,"gānggāng ",Adv,ㄍㄤ　ㄍㄤ,基-24,24
,剛才,剛才,"gāngcái ",Adv,ㄍㄤ　ㄘㄞˊ,基-25,25
,當然,當然,"dāngrán ",Adv,ㄉㄤ　ㄖㄢˊ,基-26,26
,自己,自己,"zìjǐ ",N,ㄗˋ　ㄐㄧˇ,基-27,27
,別人,別人,"biérén ",N,ㄅㄧㄝˊ　ㄖㄣˊ,基-28,28
,年紀,年紀,"niánjì ",N,ㄋㄧㄢˊ　ㄐㄧˋ,基-29,29
,男人,男人,"nánrén ",N,ㄋㄢˊ　ㄖㄣˊ,基-30,30
,女人,女人,"nǚrén ",N,ㄋㄩˇ　ㄖㄣˊ,基-31,31
,大人,大人,"dàrén ",N,ㄉㄚˋ　ㄖㄣˊ,基-32,32
,老人,老人,"lǎorén ",N,ㄌㄠˇ　ㄖㄣˊ,基-33,33
,習慣,習慣,"xíguàn ",N,ㄒㄧˊ　ㄍㄨㄢˋ,基-34,34
,習慣,習慣,"xíguàn ",Vs,ㄒㄧˊ　ㄍㄨㄢˋ,基-35,35
,家庭,家庭,"jiātíng ",N,ㄐㄧㄚ　ㄊㄧㄥˊ,基-36,36
,父親,父親,"fùqīn ",N,ㄈㄨˋ　ㄑㄧㄣ,基-37,37
,母親,母親,"mǔqīn ",N,ㄇㄨˇ　ㄑㄧㄣ,基-38,38
,父母,父母,"fùmŭ ",N,ㄈㄨˋ　ㄇㄨˇ,基-39,39
,爺爺,爺爺,yéye,N,ㄧㄝˊ　˙ㄧㄝ,基-40,40
,奶奶,奶奶,"nǎinai ",N,ㄋㄞˇ　˙ㄋㄞ,基-41,41
,關係,關係,"guānxì ",N,ㄍㄨㄢ　ㄒㄧˋ,基-42,42
,教堂,教堂,"jiàotáng ",N,ㄐㄧㄠˋ　ㄊㄤˊ,基-43,43
,好,好,"hǎo ",Vs,ㄏㄠˇ,基-44,44
,真,真,"zhēn ",Vs,ㄓㄣ,基-45,45
,最,最,"zuì ",Adv,ㄗㄨㄟˋ,基-46,46
,更,更,"gèng ",Adv,ㄍㄥˋ,基-47,47
,愉快,愉快,"yúkuài ",Vs,ㄩˊ　ㄎㄨㄞˋ,基-48,48
,開心,開心,"kāixīn ",Vs,ㄎㄞ　ㄒㄧㄣ,基-49,49
,著(ㄓㄠ)急,著(ㄓㄠ)急,"zhāojí ",Vs,ㄓㄠ　ㄐㄧˊ,基-50,50
,擔心,擔心,"dānxīn ",Vst,ㄉㄢ　ㄒㄧㄣ,基-51,51
,生氣,生氣,"shēngqì ",Vs-sep,ㄕㄥ　ㄑㄧˋ,基-52,52
,怕,怕,"pà ",Vst,ㄆㄚˋ,基-53,53
,哭,哭,"kū ",Vi,ㄎㄨ,基-54,54
,難過,難過,"nánguò ",Vs,ㄋㄢˊ　ㄍㄨㄛˋ,基-55,55
,傷心,傷心,"shāngxīn ",Vs-sep,ㄕㄤ　ㄒㄧㄣ,基-56,56
,美,美,"měi ",Vs,ㄇㄟˇ,基-57,57
,美麗,美麗,"měilì ",Vs,ㄇㄟˇ　ㄌㄧˋ,基-58,58
,聰明,聰明,"cōngmíng ",Vs,ㄘㄨㄥ　ㄇㄧㄥˊ,基-59,59
,認真,認真,"rènzhēn ",Vs,ㄖㄣˋ　ㄓㄣ,基-60,60
,勇敢,勇敢,"yŏnggăn ",Vs,ㄩㄥˇ　ㄍㄢˇ,基-61,61
,禮貌,禮貌,"lĭmào ",N,ㄌㄧˇ　ㄇㄠˋ,基-62,62
,害羞,害羞,"hàixiū ",Vs,ㄏㄞˋ　ㄒㄧㄡ,基-63,63
,應該,應該,"yīnggāi ",Vaux,ㄧㄥ　ㄍㄞ,基-64,64
,相信,相信,"xiāngxìn ",Vst,ㄒㄧㄤ　ㄒㄧㄣˋ,基-65,65
,經驗,經驗,"jīngyàn ",N,ㄐㄧㄥ　ㄧㄢˋ,基-66,66
,關心,關心,"guānxīn ",Vst,ㄍㄨㄢ　ㄒㄧㄣ,基-67,67
,辛苦,辛苦,"xīnkǔ ",Vs,ㄒㄧㄣ　ㄎㄨˇ,基-68,68
,願意,願意,"yuànyì ",Vaux,ㄩㄢˋ　ㄧˋ,基-69,69
,心情,心情,"xīnqíng ",N,ㄒㄧㄣ　ㄑㄧㄥˊ,基-70,70
,幸福,幸福,"xìngfú ",Vs,ㄒㄧㄥˋ　ㄈㄨˊ,基-71,71
,可憐,可憐,"kělián ",Vs,ㄎㄜˇ　ㄌㄧㄢˊ,基-72,72
,差,差,"chà ",Vs-pred,ㄔㄚˋ,基-73,73
工作,職業,職業,"zhíyè ",N,ㄓˊ　ㄧㄝˋ,基-74,74
,教師,教師,"jiàoshī ",N,ㄐㄧㄠˋ　ㄕ,基-75,75
,經理,經理,"jīnglǐ ",N,ㄐㄧㄥ　ㄌㄧˇ,基-76,76
,記者,記者,"jìzhě ",N,ㄐㄧˋ　ㄓㄜˇ,基-77,77
,服務員/服務生,服務生,"fú​wù​yuán/fúwùshēng ",N,ㄈㄨˊ　ㄨˋ　ㄩㄢˊ/ㄈㄨˊ　ㄨˋ　ㄕㄥ,基-78,78
,顧客,顧客,"gùkè ",N,ㄍㄨˋ　ㄎㄜˋ,基-79,79
,教書,教書,"jiāoshū ",V-sep,ㄐㄧㄠ　ㄕㄨ,基-80,80
,開會,開會,"kāihuì ",V-sep,ㄎㄞ　ㄏㄨㄟˋ,基-81,81
,下班,下班,"xiàbān ",V-sep,ㄒㄧㄚˋ　ㄅㄢ,基-82,82
,危險,危險,"wéixiǎn ",Vs,ㄨㄟˊ　ㄒㄧㄢˇ,基-83,83
,安全,安全,"ānquán ",Vs,ㄢ　ㄑㄩㄢˊ,基-84,84
,安全,安全,"ānquán ",N,ㄢ　ㄑㄩㄢˊ,基-85,85
,成功,成功,"chénggōng ",Vs,ㄔㄥˊ　ㄍㄨㄥ,基-86,86
,報告,報告,"bàogào ",V,ㄅㄠˋ　ㄍㄠˋ,基-87,87
,報告,報告,"bàogào ",N,ㄅㄠˋ　ㄍㄠˋ,基-88,88
,打算,打算,"dǎsuàn ",Vaux,ㄉㄚˇ　ㄙㄨㄢˋ,基-89,89
,機會,機會,"jīhuì ",N,ㄐㄧ　ㄏㄨㄟˋ,基-90,90
,當,當,"dāng ",Prep,ㄉㄤ,基-91,91
,如果,如果,"rúguǒ ",Conj,ㄖㄨˊ　ㄍㄨㄛˇ,基-92,92
,計畫/劃,計畫,jìhuà,V,ㄐㄧˋ　ㄏㄨㄚˋ,基-93,93
,計畫,計畫,"jìhuà ",N,ㄐㄧˋ　ㄏㄨㄚˋ,基-94,94
,努力,努力,"nǔlì ",Vs,ㄋㄨˇ　ㄌㄧˋ,基-95,95
,管理,管理,"guănlǐ ",V,ㄍㄨㄢˇ　ㄌㄧˇ,基-96,96
教育,學院,學院,"xuéyuàn ",N,ㄒㄩㄝˊ　ㄩㄢˋ,基-97,97
,小學生,小學生,"xiăoxuéshēng ",N,ㄒㄧㄠˇ　ㄒㄩㄝˊ　ㄕㄥ,基-98,98
,大學生,大學生,"dàxuéshēng ",N,ㄉㄚˋ　ㄒㄩㄝˊ　ㄕㄥ,基-99,99
,同學,同學,"tóngxué ",N,ㄊㄨㄥˊ　ㄒㄩㄝˊ,基-100,100
,校長,校長,"xiàozhǎng ",N,ㄒㄧㄠˋ　ㄓㄤˇ,基-101,101
,放假,放假,fàngjià,V-sep,ㄈㄤˋ　ㄐㄧㄚˋ,基-102,102
,畢業,畢業,"bìyè ",Vp-sep,ㄅㄧˋ　ㄧㄝˋ,基-103,103
,開學,開學,"kāixué ",Vp,ㄎㄞ　ㄒㄩㄝˊ,基-104,104
,成績,成績,"chéngjī ",N,ㄔㄥˊ　ㄐㄧ,基-105,105
,學期,學期,"xuéqí ",N,ㄒㄩㄝˊ　ㄑㄧˊ,基-106,106
,學費,學費,"xuéfèi ",N,ㄒㄩㄝˊ　ㄈㄟˋ,基-107,107
,暑假,暑假,"shŭjià ",N,ㄕㄨˇ　ㄐㄧㄚˋ,基-108,108
,寒假,寒假,"hánjià ",N,ㄏㄢˊ　ㄐㄧㄚˋ,基-109,109
,服務,服務,"fúwù ",V,ㄈㄨˊ　ㄨˋ,基-110,110
,宿舍,宿舍,sùshè,N,ㄙㄨˋ　ㄕㄜˋ,基-111,111
,操場,操場,"cāochăng ",N,ㄘㄠ　ㄔㄤˇ,基-112,112
,校園,校園,"xiàoyuán ",N,ㄒㄧㄠˋ　ㄩㄢˊ,基-113,113
,中文,中文,"zhōngwén ",N,ㄓㄨㄥ　ㄨㄣˊ,基-114,114
,文化,文化,"wénhuà ",N,ㄨㄣˊ　ㄏㄨㄚˋ,基-115,115
,語法,語法,"yǔfǎ ",N,ㄩˇ　ㄈㄚˇ,基-116,116
,漢語,漢語,"hànyǔ ",N,ㄏㄢˋ　ㄩˇ,基-117,117
,書法,書法,"shūfă ",N,ㄕㄨ　ㄈㄚˇ,基-118,118
,班,班,"bān ",M,ㄅㄢ,基-119,119
,班,班,"bān ",N,ㄅㄢ,基-120,120
,書桌,書桌,"shūzhuō ",N,ㄕㄨ　ㄓㄨㄛ,基-121,121
,課,課,"kè ",N,ㄎㄜˋ,基-122,122
,字典,字典,"zìdiǎn ",N,ㄗˋ　ㄉㄧㄢˇ,基-123,123
,漢字,漢字,"hànzì ",N,ㄏㄢˋ　ㄗˋ,基-124,124
,鉛筆,鉛筆,"qiānbǐ ",N,ㄑㄧㄢ　ㄅㄧˇ,基-125,125
,尺,尺,"chǐ ",N,ㄔˇ,基-126,126
,毛筆,毛筆,"máobĭ ",N,ㄇㄠˊ　ㄅㄧˇ,基-127,127
,教,教,jiāo,V,ㄐㄧㄠ,基-128,128
,講,講,"jiǎng ",V,ㄐㄧㄤˇ,基-129,129
,講話,講話,"jiǎnghuà ",V-sep,ㄐㄧㄤˇ　ㄏㄨㄚˋ,基-130,130
,告訴,告訴,"gàosù ",V,ㄍㄠˋ　ㄙㄨˋ,基-131,131
,念/唸,念/唸,"niàn ",V,ㄋㄧㄢˋ,基-132,132
,練習,練習,"liànxí ",N,ㄌㄧㄢˋ　ㄒㄧˊ,基-133,133
,討論,討論,"tǎolùn ",V,ㄊㄠˇ　ㄌㄨㄣˋ,基-134,134
,認為,認為,"rènwéi ",V,ㄖㄣˋ　ㄨㄟˊ,基-135,135
,解釋,解釋,"jiěshì ",N,ㄐㄧㄝˇ　ㄕˋ,基-136,136
,同意,同意,"tóngyì ",Vst,ㄊㄨㄥˊ　ㄧˋ,基-137,137
,了解/瞭解,了解,"liǎojiě ",Vst,ㄌㄧㄠˇ　ㄐㄧㄝˇ,基-138,138
,清楚,清楚,"qīngchǔ ",Vs,ㄑㄧㄥ　ㄔㄨˇ,基-139,139
,無聊,無聊,"wúliáo ",Vs,ㄨˊ　ㄌㄧㄠˊ,基-140,140
,決定,決定,"juédìng ",Vp,ㄐㄩㄝˊ　ㄉㄧㄥˋ,基-141,141
,遍,遍,"biàn ",M,ㄅㄧㄢˋ,基-142,142
,交,交,"jiāo ",V,ㄐㄧㄠ,基-143,143
,借,借,"jiè ",V,ㄐㄧㄝˋ,基-144,144
,算,算,"suàn ",V,ㄙㄨㄢˋ,基-145,145
,對,對,"duì ",Vs,ㄉㄨㄟˋ,基-146,146
,錯,錯,"cuò ",Vp,ㄘㄨㄛˋ,基-147,147
,辦法,辦法,"bànfǎ ",N,ㄅㄢˋ　ㄈㄚˇ,基-148,148
,方法,方法,"fāngfǎ ",N,ㄈㄤ　ㄈㄚˇ,基-149,149
,有用,有用,"yǒuyòng ",Vs,ㄧㄡˇ　ㄩㄥˋ,基-150,150
,進步,進步,"jìnbù ",Vp,ㄐㄧㄣˋ　ㄅㄨˋ,基-151,151
,忘,忘,"wàng ",Vp,ㄨㄤˋ,基-152,152
,記,記,"jì ",V,ㄐㄧˋ,基-153,153
房屋與家庭、環境,公寓,公寓,"gōngyù ",N,ㄍㄨㄥ　ㄩˋ,基-154,154
,大樓,大樓,"dàlóu ",N,ㄉㄚˋ　ㄌㄡˊ,基-155,155
,臥室,臥室,"wòshì ",N,ㄨㄛˋ　ㄕˋ,基-156,156
,花園,花園,"huāyuán ",N,ㄏㄨㄚ　ㄩㄢˊ,基-157,157
,門口,門口,"ménkǒu ",N,ㄇㄣˊ　ㄎㄡˇ,基-158,158
,浴室,浴室,"yùshì ",N,ㄩˋ　ㄕˋ,基-159,159
,樓梯,樓梯,"lóutī ",N,ㄌㄡˊ　ㄊㄧ,基-160,160
,牆,牆,"qiáng ",N,ㄑㄧㄤˊ,基-161,161
,洗衣機,洗衣機,"xǐyījī ",N,ㄒㄧˇ　ㄧ　ㄐㄧ,基-162,162
,冰箱,冰箱,"bīngxiāng ",N,ㄅㄧㄥ　ㄒㄧㄤ,基-163,163
,燈,燈,"dēng ",N,ㄉㄥ,基-164,164
,打開,打開,"dǎkāi ",Vp,ㄉㄚˇ　ㄎㄞ,基-165,165
,盒子,盒子,hézi,N,ㄏㄜˊ　˙ㄗ,基-166,166
,鄰居,鄰居,"línjū ",N,ㄌㄧㄣˊ　ㄐㄩ,基-167,167
,熱鬧(˙ㄋㄠ),熱鬧(˙ㄋㄠ),"rènao ",Vs,ㄖㄜˋ　˙ㄋㄠ,基-168,168
,吵,吵,"chǎo ",Vs,ㄔㄠˇ,基-169,169
,滿意,滿意,"mǎnyì ",Vst,ㄇㄢˇ　ㄧˋ,基-170,170
,乾淨,乾淨,"gānjìng ",Vs,ㄍㄢ　ㄐㄧㄥˋ,基-171,171
,房租,房租,"fángzū ",N,ㄈㄤˊ　ㄗㄨ,基-172,172
,租,租,"zū ",V,ㄗㄨ,基-173,173
,開水,開水,"kāishuǐ ",N,ㄎㄞ　ㄕㄨㄟˇ,基-174,174
,鄉下,鄉下,"xiāngxià ",N,ㄒㄧㄤ　ㄒㄧㄚˋ,基-175,175
,森林,森林,"sēnlín ",N,ㄙㄣ　ㄌㄧㄣˊ,基-176,176
,地,地,"dì ",N,ㄉㄧˋ,基-177,177
,草,草,"cǎo ",N,ㄘㄠˇ,基-178,178
,枝,枝,"zhī ",M,ㄓ,基-179,179
,隻,隻,"zhī ",M,ㄓ,基-180,180
