詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
阿姨,阿姨,āyí,N,ㄚ　ㄧˊ,進-1,1
哎,哎,"āi ",Ptc,ㄞ,進-2,2
唉,唉,"āi ",Ptc,ㄞ,進-3,3
愛,愛,"ài ",N,ㄞˋ,進-4,4
愛情,愛情,"àiqíng ",N,ㄞˋ　ㄑㄧㄥˊ,進-5,5
愛惜,愛惜,"àixí ",Vst,ㄞˋ　ㄒㄧˊ,進-6,6
愛心,愛心,"àixīn ",N,ㄞˋ　ㄒㄧㄣ,進-7,7
安定,安定,"āndìng ",Vs,ㄢ　ㄉㄧㄥˋ,進-8,8
安排,安排,"ānpái ",N,ㄢ　ㄆㄞˊ,進-9,9
安排,安排,"ānpái ",V,ㄢ　ㄆㄞˊ,進-10,10
安心,安心,"ānxīn ",Vs,ㄢ　ㄒㄧㄣ,進-11,11
按,按,"àn ",Prep,ㄢˋ,進-12,12
按照,按照,"ànzhào ",Prep,ㄢˋ　ㄓㄠˋ,進-13,13
巴士,巴士,"bāshì ",N,ㄅㄚ　ㄕˋ,進-14,14
把,把,"bǎ ",M,ㄅㄚˇ,進-15,15
把握,把握,"băwò ",V,ㄅㄚˇ　ㄨㄛˋ,進-16,16
白,白,"bái ",Vs,ㄅㄞˊ,進-18,17
白(白),白,bái(bái),Adv,"ㄅㄞˊ (ㄅㄞˊ)",進-19,18
白菜,白菜,"báicài ",N,ㄅㄞˊ　ㄘㄞˋ,進-20,19
白天(˙ㄊㄧㄢ),白天(˙ㄊㄧㄢ),"báitian ",N,ㄅㄞˊ　˙ㄊㄧㄢ,進-21,20
擺,擺,"băi ",V,ㄅㄞˇ,進-22,21
百貨公司,百貨公司,băihuògōngsī,N,ㄅㄞˇ　ㄏㄨㄛˋ　ㄍㄨㄥ　ㄙ,進-23,22
班機,班機,"bānjī ",N,ㄅㄢ　ㄐㄧ,進-24,23
搬家,搬家,"bānjiā ",V-sep,ㄅㄢ　ㄐㄧㄚ,進-25,24
辦,辦,"bàn ",V,ㄅㄢˋ,進-26,25
辦理,辦理,bànlĭ,V,ㄅㄢˋ　ㄌㄧˇ,進-27,26
