"Simplified"	"Traditional"	"Pinyin"	"Level"	"Parent"	"Meaning"
"们"	"們"	"men"	"1"	"我們"	"plural marker for pronouns, and nouns referring to individuals"
"我们"	"我們"	"wǒmen"	"1"	""	"we"
"你们"	"你們"	"nǐmen"	"1"	""	"you (plural)"
"他们"	"他們"	"tāmen"	"1"	""	"they"
"谁"	"誰"	"shéi"	"1"	""	"who"
"国"	"國"	"guó"	"1"	"中國"	"country"
"中国"	"中國"	"zhōngguó"	"1"	""	"China"
"美国"	"美國"	"měiguó"	"1"	""	"United States"
"湾"	"灣"	"wān"	"1"	"台灣"	"bay"
"台湾"	"台灣"	"táiwān"	"1"	""	"variant of 臺灣|台湾[Tai2 wan1]"
"电"	"電"	"diàn"	"1"	"電話"	"electric"
"话"	"話"	"huà"	"1"	"電話"	"dialect"
"电话"	"電話"	"diànhuà"	"1"	""	"telephone"
"现"	"現"	"xiàn"	"1"	"現在"	"to appear"
"现在"	"現在"	"xiànzài"	"1"	""	"now"
"两"	"兩"	"liǎng"	"1"	""	"two"
"时"	"時"	"shí"	"1"	"時候"	"o'clock"
"时候"	"時候"	"shíhòu"	"1"	""	"time"
"妈"	"媽"	"mā"	"1"	"媽媽"	"ma"
"妈妈"	"媽媽"	"māma"	"1"	""	"mama"
"点"	"點"	"diǎn"	"1"	""	"point"
"个"	"個"	"ge"	"1"	""	"individual"
"岁"	"歲"	"suì"	"1"	""	"classifier for years (of age)"
"来"	"來"	"lái"	"1"	""	"to come"
"觉"	"覺"	"jiào"	"1"	"覺得"	"a nap"
"觉得"	"覺得"	"juéde"	"1"	""	"to think"
"欢"	"歡"	"huān"	"1"	"喜歡"	"joyous"
"喜欢"	"喜歡"	"xǐhuān"	"1"	""	"to like"
"打电话"	"打電話"	"dǎdiànhuà"	"1"	""	"to make a telephone call"
"兴"	"興"	"xīng"	"1"	"高興"	"to rise"
"高兴"	"高興"	"gāoxìng"	"1"	""	"happy"
"脑"	"腦"	"năo"	"1"	"電腦"	"brain"
"电脑"	"電腦"	"diànnǎo"	"1"	""	"computer"
"师"	"師"	"shī"	"1"	"老師"	"teacher"
"老师"	"老師"	"lǎoshī"	"1"	""	"teacher"
"买"	"買"	"mǎi"	"1"	""	"to buy"
"学"	"學"	"xué"	"1"	"學生"	"to learn"
"学生"	"學生"	"xuéshēng"	"1"	""	"student"
"大学"	"大學"	"dàxué"	"1"	""	"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism"
"学校"	"學校"	"xuéxiào"	"1"	""	"school"
"笔"	"筆"	"bǐ"	"1"	""	"pen"
"问"	"問"	"wèn"	"1"	""	"to ask"
"说"	"說"	"shuō"	"1"	""	"to persuade"
"写"	"寫"	"xiě"	"1"	""	"to write"
"听"	"聽"	"tīng"	"1"	""	"to listen"
"练"	"練"	"liàn"	"1"	"練習"	"to practice"
"习"	"習"	"xí"	"1"	"練習"	"to practice"
"练习"	"練習"	"liànxí"	"1"	""	"to practice"
"课"	"課"	"kè"	"1"	"上課"	"subject"
"上课"	"上課"	"shàngkè"	"1"	""	"to go to class"
"视"	"視"	"shì"	"1"	"電視"	"to look at"
"电视"	"電視"	"diànshì"	"1"	""	"television"
"书"	"書"	"shū"	"1"	""	"book"
"电影"	"電影"	"diànyǐng"	"1"	""	"movie"
"后"	"後"	"hòu"	"1"	"以後"	"back"
"以后"	"以後"	"yǐhòu"	"1"	""	"after"
"麽"	"麼"	"má"	"1"	"什麼"	"exclamatory final particle"
"什么"	"什麼"	"shénme"	"1"	""	"what?"
"东"	"東"	"dōng"	"1"	"東西"	"east"
"东西"	"東西"	"dōngxi"	"1"	""	"east and west"
"吗"	"嗎"	"ma"	"1"	""	"(question particle for ""yes-no"" questions)"
"见"	"見"	"jiàn"	"1"	"再見"	"to see"
"再见"	"再見"	"zàijiàn"	"1"	""	"goodbye"
"样"	"樣"	"yàng"	"1"	"怎麼樣"	"manner"
"怎么样"	"怎麼樣"	"zěnmeyàng"	"1"	""	"how?"
"谢"	"謝"	"xiè"	"1"	"謝謝"	"to thank"
"谢谢"	"謝謝"	"xièxie"	"1"	""	"to thank"
"对"	"對"	"duì"	"1"	"對不起"	"right"
"对不起"	"對不起"	"duìbuqǐ"	"1"	""	"unworthy"
"请"	"請"	"qǐng"	"1"	"請問"	"to ask"
"请问"	"請問"	"qǐngwèn"	"1"	""	"Excuse me, may I ask...?"
"这"	"這"	"zhè"	"1"	""	"this"
"车"	"車"	"chē"	"1"	"公共汽車"	"car"
"公共汽车"	"公共汽車"	"gōnggòngqìchē"	"1"	""	"bus"
"开"	"開"	"kāi"	"1"	"開車"	"to open"
"开车"	"開車"	"kāichē"	"1"	""	"to drive a car"
"钱"	"錢"	"qián"	"1"	""	"coin"
"给"	"給"	"gěi"	"1"	""	"to"
"贵"	"貴"	"guì"	"1"	""	"expensive"
"难"	"難"	"nán"	"1"	""	"difficult (to...)"
"几"	"幾"	"jǐ"	"1"	""	"almost"
"块"	"塊"	"kuài"	"1"	""	"lump (of earth)"
"饭"	"飯"	"fàn"	"1"	""	"food"
"没"	"沒"	"méi"	"1"	""	"(negative prefix for verbs)"
"还"	"還"	"huán"	"1"	"還是"	"still"
"还是"	"還是"	"háishì"	"1"	""	"or"
"过"	"過"	"guò"	"1"	""	"to cross"
"儿"	"兒"	"ér"	"2"	"女兒"	"child"
"女儿"	"女兒"	"nǚér"	"2"	""	"daughter"
"儿子"	"兒子"	"érzi"	"2"	""	"son"
"机"	"機"	"jī"	"2"	"手機"	"machine"
"手机"	"手機"	"shǒujī"	"2"	""	"cell phone"
"号"	"號"	"hào"	"2"	"號碼"	"roar"
"码"	"碼"	"mǎ"	"2"	"號碼"	"weight"
"号码"	"號碼"	"hàomǎ"	"2"	""	"number"
"周"	"週"	"zhōu"	"2"	"週末"	"week"
"周末"	"週末"	"zhōumò"	"2"	""	"weekend"
"从"	"從"	"cóng"	"2"	""	"from"
"爱"	"愛"	"ài"	"2"	""	"to love"
"乐"	"樂"	"lè"	"2"	"快樂"	"happy"
"快乐"	"快樂"	"kuàilè"	"2"	""	"happy"
"医"	"醫"	"yī"	"2"	"醫生"	"medical"
"医生"	"醫生"	"yīshēng"	"2"	""	"doctor"
"医院"	"醫院"	"yīyuàn"	"2"	""	"hospital"
"卖"	"賣"	"mài"	"2"	""	"to sell"
"准"	"準"	"zhŭn"	"2"	"準備"	"accurate"
"备"	"備"	"bèi"	"2"	"準備"	"to prepare"
"准备"	"準備"	"zhǔnbèi"	"2"	""	"preparation"
"一点"	"一點"	"yīdiǎn"	"2"	""	"a bit"
"张"	"張"	"zhāng"	"2"	""	"to open up"
"中学"	"中學"	"zhōngxué"	"2"	""	"middle school"
"级"	"級"	"jí"	"2"	"年級"	"level"
"年级"	"年級"	"niánjí"	"2"	""	"grade"
"纸"	"紙"	"zhǐ"	"2"	""	"paper"
"题"	"題"	"tí"	"2"	"問題"	"topic"
"问题"	"問題"	"wèntí"	"2"	""	"question"
"图"	"圖"	"tú"	"2"	"圖書館"	"diagram"
"馆"	"館"	"guǎn"	"2"	"圖書館"	"building"
"图书馆"	"圖書館"	"túshūguǎn"	"2"	""	"library"
