"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"我"	"wǒ"	"1"	"I"	"me, my"	""
"你"	"nǐ"	"1"	"you (informal, as opposed to courteous 您[nin2])"	""	""
"他"	"tā"	"1"	"he or him"	"(used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another"	""
"們"	"men5"	"1"	"plural marker for pronouns, and nouns referring to individuals"	""	"我們 (wǒmen)"
"我們"	"wǒmen"	"1"	"we"	"us, ourselves, our"	""
"你們"	"nǐmen"	"1"	"you (plural)"	""	""
"他們"	"tāmen"	"1"	"they"	""	""
"您"	"nín"	"1"	"you (courteous, as opposed to informal 你[ni3])"	""	""
"誰"	"shéi"	"1"	"who"	"also pr. [shui2]"	""
"人"	"rén"	"1"	"man"	"person, people, CL:個|个[ge4],位[wei4]"	""
"中"	"zhòng"	"1"	"China"	"Chinese, surname Zhong, within, among, in, middle, center, while (doing sth), during, (dialect) OK, all right, to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)"	"中國 (zhōngguó)"
"國"	"guó"	"1"	"surname Guo"	"country, nation, state, national, CL:個|个[ge4]"	"中國 (zhōngguó)"
"中國"	"zhōngguó"	"1"	"China"	""	""
"美"	"měi"	"1"	"the Americas"	"abbr. for 美洲[Mei3 zhou1], USA, abbr. for 美國|美国[Mei3 guo2], beautiful, very satisfactory, good, to beautify, to be pleased with oneself"	"美國 (měiguó)"
"美國"	"měiguó"	"1"	"United States"	"USA, US"	""
"日"	"rì"	"1"	"abbr. for 日本[Ri4 ben3], Japan"	"sun, day, date, day of the month"	"日本 (rìběn)"
"本"	"běn"	"1"	"root"	"stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc"	"日本 (rìběn)"
"日本"	"rìběn"	"1"	"Japan"	"Japanese"	""
"台"	"tái"	"1"	"typhoon"	""	"台灣 (táiwān)"
"灣"	"wan1"	"1"	"bay"	"gulf, to cast anchor, to moor (a boat)"	"台灣 (táiwān)"
"台灣"	"táiwān"	"1"	"variant of 臺灣|台湾[Tai2 wan1]"	""	""
"名"	"míng"	"1"	"name"	"noun (part of speech), place (e.g. among winners), famous, classifier for people"	"名字 (míngzi)"
"字"	"zì"	"1"	"letter"	"symbol, character, word, CL:個|个[ge4], courtesy or style name traditionally given to males aged 20 in dynastic China"	"名字 (míngzi)"
"名字"	"míngzi"	"1"	"name (of a person or thing)"	"CL:個|个[ge4]"	""
"家"	"jiā"	"1"	"see 傢伙|家伙[jia1 huo5]"	"surname Jia, home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]"	""
"電"	"diàn"	"1"	"electric"	"electricity, electrical"	"電話 (diànhuà)"
"話"	"hua4"	"1"	"dialect"	"language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]"	"電話 (diànhuà)"
"電話"	"diànhuà"	"1"	"telephone"	"CL:部[bu4], phone call, CL:通[tong1], phone number"	""
"現"	"xiàn"	"1"	"to appear"	"present, now, existing, current"	"現在 (xiànzài)"
"在"	"zài"	"1"	"(located) at"	"(to be) in, to exist, in the middle of doing sth, (indicating an action in progress)"	"現在 (xiànzài)"
"現在"	"xiànzài"	"1"	"now"	"at present, at the moment, modern, current, nowadays"	""
"今"	"jin1"	"1"	"today"	"modern, present, current, this, now"	"今年 (jīnnián)"
"年"	"nián"	"1"	"grain"	"harvest (old), variant of 年[nian2]"	"今年 (jīnnián)"
"今年"	"jīnnián"	"1"	"this year"	""	""
"天"	"tiān"	"1"	"day"	"sky, heaven"	"今天 (jīntiān)"
"今天"	"jīntiān"	"1"	"today"	"at the present, now"	""
"明"	"ming2"	"1"	"Ming Dynasty (1368-1644)"	"surname Ming, Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, bright, opposite: dark 暗[an4], (of meaning) clear, to understand, next, public or open, wise, generic term for a sacrifice to the gods"	"明天 (míngtiān)"
"明天"	"míngtiān"	"1"	"tomorrow"	""	""
"昨"	"zuo2"	"1"	"yesterday"	""	"昨天 (zuótiān)"
"昨天"	"zuótiān"	"1"	"yesterday"	""	""
"早"	"zăo"	"1"	"early"	"morning, Good morning!, long ago, prematurely"	"早上 (zǎoshang)"
"上"	"shàng"	"1"	"see 上聲|上声[shang3 sheng1]"	"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university)"	"早上 (zǎoshang)"
"早上"	"zǎoshang"	"1"	"early morning"	"CL:個|个[ge4]"	""
"午"	"wu3"	"1"	"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse"	"ancient Chinese compass point: 180° (south)"	"上午 (shàngwǔ)"
"上午"	"shàngwǔ"	"1"	"morning"	"CL:個|个[ge4]"	""
"中午"	"zhōngwǔ"	"1"	"noon"	"midday, CL:個|个[ge4]"	""
"下"	"xià"	"1"	"down"	"downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action"	"下午 (xiàwǔ)"
"下午"	"xiàwǔ"	"1"	"afternoon"	"CL:個|个[ge4], p.m."	""
"晚"	"wǎn"	"1"	"evening"	"night, late"	"晚上 (wǎnshang)"
"晚上"	"wǎnshang"	"1"	"evening"	"night, CL:個|个[ge4], in the evening"	""
"一"	"yī"	"1"	"one"	"1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"	""
"二"	"èr"	"1"	"two"	"2, (Beijing dialect) stupid"	""
"三"	"sān"	"1"	"surname San"	"three, 3"	""
"四"	"sì"	"1"	"four"	"4"	""
"五"	"wǔ"	"1"	"five"	"5"	""
"六"	"liù"	"1"	"six"	"6"	""
"七"	"qī"	"1"	"seven"	"7"	""
"八"	"bā"	"1"	"eight"	"8"	""
"九"	"jiǔ"	"1"	"nine"	"9"	""
"十"	"shí"	"1"	"ten"	"10"	""
"零"	"líng"	"1"	"zero"	"nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither"	""
"兩"	"liǎng"	"1"	"two"	"both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"	""
