"Pinyin","AllWords","Definitions"
"wǒ","我","我 I, me, my"
"nǐ","你","你 you (informal, as opposed to courteous 您[nin2])"
"tā","他, 它, 塌, 牠","他 he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another
它 it
塌 to collapse, to droop, to settle down
牠 it (used for animals)"
"wǒmen","我們","我們 we, us, ourselves, our"
"nǐmen","你們","你們 you (plural)"
"tāmen","他們, 它們","他們 they
它們 they (for inanimate objects)"
"nín","您","您 you (courteous, as opposed to informal 你[ni3])"
"shéi","誰","誰 who, also pr. [shui2]"
"rén","人","人 man, person, people, CL:個|个[ge4],位[wei4]"
"zhōngguó","中國","中國 China"
"měiguó","美國","美國 United States, USA, US"
"rìběn","日本","日本 Japan, Japanese"
"táiwān","台灣","台灣 variant of 臺灣|台湾[Tai2 wan1]"
"míngzi","名字","名字 name (of a person or thing), CL:個|个[ge4]"
"jiā","家","家 home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, see 傢伙|家伙[jia1 huo5], surname Jia, CL:個|个[ge4]"
"diànhuà","電話","電話 telephone, phone call, phone number, CL:部[bu4], CL:通[tong1]"
"xiànzài","現在","現在 now, at present, at the moment, modern, current, nowadays"
"jīnnián","今年","今年 this year"
"jīntiān","今天","今天 today, at the present, now"
"míngtiān","明天","明天 tomorrow"
"zuótiān","昨天","昨天 yesterday"
"zǎoshang","早上","早上 early morning, CL:個|个[ge4]"
"shàngwǔ","上午","上午 morning, CL:個|个[ge4]"
"zhōngwǔ","中午","中午 noon, midday, CL:個|个[ge4]"
"xiàwǔ","下午","下午 afternoon, p.m., CL:個|个[ge4]"
"wǎnshang","晚上","晚上 evening, night, in the evening, CL:個|个[ge4]"
"yī","一","一 one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
"èr","二","二 two, 2, (Beijing dialect) stupid"
"sān","三","三 three, 3, surname San"
"sì","四, 賜","四 four, 4
賜 to confer, to bestow, to grant"
"wǔ","五","五 five, 5"
"liù","六","六 six, 6"
"qī","七","七 seven, 7"
"bā","八","八 eight, 8"
"jiǔ","九, 酒, 久","九 nine, 9
酒 wine (esp. rice wine), liquor, spirits, alcoholic beverage, CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]
久 (long) time, (long) duration of time"
"shí","十","十 ten, 10"
"líng","零, 鈴","零 zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither
鈴 (small) bell, CL:隻|只[zhi1]"
"liǎng","兩, 倆","兩 two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)
倆 two (colloquial equivalent of 兩個|两个), both, some"
"shíhòu","時候","時候 time, length of time, moment, period"
"bǎi","百, 擺","百 hundred, numerous, all kinds of, surname Bai
擺 to arrange, to exhibit, to move to and fro, a pendulum"
"bàn","半, 拌","半 half, semi-, incomplete, (after a number) and a half
拌 to mix, to mix in, to toss (a salad)"
"bàba","爸爸","爸爸 (informal) father, CL:個|个[ge4],位[wei4]"
"māma","媽媽","媽媽 mama, mommy, mother, CL:個|个[ge4],位[wei4]"
"gēge","哥哥","哥哥 older brother, CL:個|个[ge4],位[wei4]"
"dìdi","弟弟","弟弟 younger brother, CL:個|个[ge4],位[wei4]"
"jiějie","姊姊","姊姊 older sister, Taiwan pr. [jie3 jie5]"
"mèimei","妹妹","妹妹 younger sister, young woman, CL:個|个[ge4]"
"de","的","的 of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), really and truly, aim, clear, see 的士[di1 shi4]"
"dì","第, 遞","第 (prefix indicating ordinal number, e.g. first, number two etc), order, (old) rank in the imperial examinations, mansion, (literary) but, just
遞 to hand over, to pass on sth, to gradually increase or decrease, progressively"
"fēn","分","分 to divide, to separate, to distribute, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money), part, share, ingredient, component"
"diǎn","點","點 point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items"
"ge","個","個 individual, this, that, size, classifier for people or objects in general"
"suì","歲, 碎","歲 classifier for years (of age), year, year (of crop harvests)
碎 to break down, to break into pieces, fragmentary"
"zhù","住, 駐","住 to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)
駐 to halt, to stay, to be stationed (of troops, diplomats etc)"
"lái","來","來 to come, to arrive, to come round, ever since, next"
"shì","是","是 is, are, am, yes, to be, (used in given names), variant of 是[shi4]"
"xìng","姓","姓 family name, surname, to be surnamed, CL:個|个[ge4]"
"juéde","覺得","覺得 to think, to feel"
"xǐhuān","喜歡","喜歡 to like, to be fond of"
"dǎdiànhuà","打電話","打電話 to make a telephone call"
"gāoxìng","高興","高興 happy, glad, willing (to do sth), in a cheerful mood"
"piàoliàng","漂亮","漂亮 pretty, beautiful"
"hǎo","好","好 good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to"
"hěn","很, 狠","很 (adverb of degree), quite, very, awfully
狠 ruthless, fierce, ferocious, determined, to harden (one's heart), old variant of 很[hen3]"
"zhēn","真","真 really, truly, indeed, real, true, genuine"
"diànnǎo","電腦","電腦 computer, CL:臺|台[tai2]"
"lǎoshī","老師","老師 teacher, CL:個|个[ge4],位[wei4]"
"mǎi","買","買 to buy, to purchase"
"máng","忙","忙 busy, hurriedly, to hurry, to rush"
"xuéshēng","學生","學生 student, schoolchild"
"dàxué","大學","大學 the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism, university, college, CL:所[suo3]"
"xuéxiào","學校","學校 school, CL:所[suo3]"
"bǐ","筆, 比","筆 pen, pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]
比 Belgium, Belgian, (particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio, to associate with, to be near, abbr. for 比利時|比利时[Bi3 li4 shi2], euphemistic variant of 屄[bi1]"
"wèn","問","問 to ask"
"shuō","說","說 to persuade, to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)"
"xiě","寫","寫 to write"
"tīng","聽","聽 to listen, to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages, (literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow"
"liànxí","練習","練習 to practice, exercise, drill, practice, CL:個|个[ge4]"
"néng","能","能 can, to be able to, might possibly, ability, (physics) energy, surname Neng"
"kěyǐ","可以","可以 can, may, possible, able to, not bad, pretty good"
"shàngkè","上課","上課 to go to class, to attend class, to go to teach a class"
"zhīdào","知道","知道 to know, to become aware of, also pr. [zhi1 dao5]"
"diànshì","電視","電視 television, TV, CL:臺|台[tai2],個|个[ge4]"
"shuǐ","水","水 water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes, surname Shui"
"zài","再","再 again, once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"
"shū","書, 輸, 梳","書 book, letter, document, to write, abbr. for 書經|书经[Shu1 jing1], CL:本[ben3],冊|册[ce4],部[bu4]
輸 to lose, to transport, to donate, to enter (a password)
梳 a comb, to comb"
"diànyǐng","電影","電影 movie, film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
"yǐqián","以前","以前 before, formerly, previous, ago"
"yǐhòu","以後","以後 after, later, afterwards, following, later on, in the future"
"zǒu","走","走 to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)"
"děng","等","等 class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once"
"kàn","看","看 to look after, to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)"
"shénme","什麼","什麼 what?, something, anything"
"péngyǒu","朋友","朋友 friend, CL:個|个[ge4],位[wei4]"
"dōngxi","東西","東西 east and west, thing, stuff, person, CL:個|个[ge4],件[jian4]"
"ba","吧","吧 bar (loanword) (serving drinks, or providing Internet access etc), to puff (on a pipe etc), (onom.) bang, (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume., (onom.) smack!, abbr. for 貼吧|贴吧[tie1 ba1]"
"ne","呢","呢 particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""), particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation, woolen material"
"ma","嗎, 嘛","嗎 (question particle for ""yes-no"" questions), see 嗎啡|吗啡, morphine
嘛 modal particle indicating that sth is obvious, particle indicating a pause for emphasis"
"zhǎo","找","找 to try to find, to look for, to call on sb, to find, to seek, to return, to give change"
